@RELATION PBDNN

@ATTRIBUTE NN-5	numeric
@ATTRIBUTE NN-4	numeric
@ATTRIBUTE NN-3	numeric
@ATTRIBUTE NN-2	numeric
@ATTRIBUTE NN-1	numeric
@ATTRIBUTE NN0	numeric
@ATTRIBUTE NN1	numeric
@ATTRIBUTE NN15	numeric
@ATTRIBUTE NN16	numeric
@ATTRIBUTE NN17	numeric
@ATTRIBUTE NN18	numeric
@ATTRIBUTE NN19	numeric
@ATTRIBUTE NN20	numeric
@ATTRIBUTE class	numeric

@DATA
-1.000000000, -1.000000000, -1.000000000, -1.450000000, -1.440000000, -0.580000000, -20.460000000, -1.280000000, -0.580000000, -0.880000000, -1.000000000, -1.000000000, -1.000000000, 0.057291667
-1.000000000, -0.580000000, -1.000000000, -1.280000000, -1.840000000, -1.840000000, -24.080000000, -1.450000000, -1.440000000, -2.170000000, -1.840000000, -1.440000000, -1.450000000, 0.000000000
-1.840000000, -1.840000000, -2.240000000, -1.280000000, -0.580000000, -0.880000000, -19.090000000, -1.280000000, -1.000000000, -1.000000000, -1.300000000, -2.170000000, -1.840000000, 0.333333333
-0.580000000, -0.880000000, -1.450000000, -1.840000000, -1.440000000, -1.000000000, -22.140000000, -1.840000000, -2.170000000, -1.300000000, -1.440000000, -1.450000000, -1.280000000, 0.000000000
-1.840000000, -1.840000000, -1.840000000, -1.300000000, -1.280000000, -1.840000000, -22.970000000, -1.000000000, -1.000000000, -1.300000000, -1.280000000, -1.300000000, -1.280000000, 0.000000000
-1.300000000, -1.280000000, -1.000000000, -0.580000000, -1.440000000, -1.280000000, -14.710000000, -1.000000000, -0.580000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, 1.890625000
-1.450000000, -1.440000000, -1.840000000, -1.450000000, -1.280000000, -1.840000000, -17.760000000, -0.880000000, -0.580000000, -0.880000000, -1.000000000, -1.300000000, -1.280000000, 0.286458333
-0.880000000, -1.450000000, -1.300000000, -0.880000000, -1.000000000, -0.580000000, -15.100000000, -1.450000000, -1.440000000, -1.280000000, -0.580000000, -1.280000000, -1.840000000, 4.442708333
-2.240000000, -1.450000000, -1.000000000, -0.880000000, -0.580000000, -1.000000000, -23.410000000, -1.280000000, -1.450000000, -2.240000000, -1.450000000, -1.000000000, -0.880000000, 0.000000000
-1.300000000, -0.880000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -13.940000000, -1.440000000, -1.450000000, -1.440000000, -1.000000000, -0.580000000, -0.880000000, 6.708333333
-1.450000000, -1.280000000, -1.840000000, -1.840000000, -2.240000000, -1.840000000, -22.950000000, -2.170000000, -1.300000000, -1.440000000, -2.170000000, -1.440000000, -1.000000000, 0.000000000
-1.000000000, -1.450000000, -1.440000000, -0.580000000, -1.280000000, -2.240000000, -18.120000000, -0.580000000, -0.880000000, -0.580000000, -1.280000000, -1.440000000, -1.000000000, 0.338541667
-1.280000000, -1.450000000, -1.440000000, -1.450000000, -1.440000000, -0.580000000, -18.350000000, -1.440000000, -1.450000000, -1.000000000, -0.880000000, -0.580000000, -0.880000000, 0.062500000
-1.280000000, -1.300000000, -1.450000000, -1.440000000, -1.280000000, -0.580000000, -20.480000000, -2.240000000, -2.170000000, -1.440000000, -1.450000000, -1.840000000, -1.300000000, 0.000000000
-1.000000000, -0.880000000, -1.300000000, -1.280000000, -1.450000000, -1.840000000, -16.770000000, -2.170000000, -2.240000000, -1.450000000, -1.440000000, -1.840000000, -1.280000000, 0.625000000
-1.280000000, -1.450000000, -1.440000000, -1.450000000, -1.300000000, -1.000000000, -23.270000000, -1.450000000, -1.300000000, -1.440000000, -1.280000000, -1.450000000, -1.440000000, 0.000000000
-2.170000000, -1.840000000, -2.240000000, -2.170000000, -2.240000000, -2.170000000, -16.520000000, -0.580000000, -1.280000000, -1.840000000, -1.300000000, -0.880000000, -0.580000000, 0.885416667
-0.580000000, -1.440000000, -2.170000000, -1.440000000, -1.300000000, -1.450000000, -18.070000000, -0.880000000, -1.450000000, -2.240000000, -1.280000000, -0.580000000, -1.280000000, 1.010416667
-1.280000000, -0.580000000, -1.440000000, -1.280000000, -1.300000000, -1.840000000, -21.280000000, -1.280000000, -2.240000000, -1.840000000, -2.170000000, -1.840000000, -2.240000000, 0.000000000
-1.300000000, -1.280000000, -0.580000000, -1.440000000, -1.280000000, -1.300000000, -23.360000000, -1.440000000, -1.450000000, -1.300000000, -1.000000000, -1.440000000, -1.280000000, 0.000000000
-1.000000000, -1.000000000, -1.000000000, -0.580000000, -1.000000000, -1.280000000, -18.720000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -1.450000000, -1.300000000, 0.942708333
-1.000000000, -1.280000000, -1.840000000, -2.240000000, -2.170000000, -1.300000000, -18.510000000, -1.300000000, -1.000000000, -0.880000000, -0.580000000, -0.880000000, -0.580000000, 0.583333333
-1.280000000, -1.300000000, -1.840000000, -1.840000000, -1.840000000, -2.170000000, -21.220000000, -1.280000000, -0.580000000, -1.440000000, -1.280000000, -1.300000000, -1.840000000, 0.166666667
-1.000000000, -1.000000000, -1.300000000, -2.170000000, -1.840000000, -1.440000000, -20.640000000, -1.450000000, -1.300000000, -0.880000000, -1.000000000, -1.000000000, -0.580000000, 0.000000000
